"Title","URL handle","Description","Vendor","Type","Tags","Published on online store","Status","Option1 name","Option1 value","Price","Charge tax","Inventory tracker","Inventory quantity","Continue selling when out of stock","Weight value (grams)","Weight unit for display","Requires shipping","Fulfillment service","Product image URL","Image position","Image alt text","SEO title","SEO description"
"Medicube Collagen Night Wrapping Mask","medicube-collagen-night-wrapping-mask","<p>An overnight Medicube mask for customers who want firmer-looking skin and a more sealed-in, hydrated finish by morning.</p><ul><li><strong>Key Ingredient:</strong> Collagen + Ceramide + Peptides</li><li><strong>What It Helps With:</strong> A peel-off sleeping mask that firms skin overnight and wraps skin in moisture while you sleep.</li><li><strong>Best Skin Type:</strong> Dry / Aging / Sagging Skin</li></ul>","Medicube","Overnight peel-off mask","source-static-catalog, source-id-medicube-collagen-night-wrapping-mask, brand-medicube, category-overnight-peel-off-mask, skin-dry, medicube, firming-care, night-routine, card-overnight-mask","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/collagen-night-wrapping-mask.jpg","1","Medicube Collagen Night Wrapping Mask tube","Medicube Collagen Night Wrapping Mask","An overnight Medicube mask for customers who want firmer-looking skin and a more sealed-in, hydrated finish by morning. Key Ingredient: Collagen + Ceramide + Peptides What It Helps With: A peel-off sleeping mask that firms skin overnight and wraps skin in moisture while you sleep. Best Skin Type: Dry / Aging / Sagging "
"Medicube Collagen Niacinamide Jelly Cream","medicube-collagen-niacinamide-jelly-cream","<p>A bouncy Medicube jelly cream for customers who want instant glass-skin hydration with a smoother, tighter-looking finish.</p><ul><li><strong>Key Ingredient:</strong> Collagen + Niacinamide</li><li><strong>What It Helps With:</strong> Gives a glass-skin glow, adds hydration and bounce, and helps pores look tighter.</li><li><strong>Best Skin Type:</strong> All / Dull Skin</li></ul>","Medicube","Glow jelly cream","source-static-catalog, source-id-medicube-collagen-niacinamide-jelly-cream, brand-medicube, category-glow-jelly-cream, skin-all, medicube, glow-care, jelly-texture, card-glass-skin","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/collagen-niacinamide-jelly-cream.jpg","1","Medicube Collagen Niacinamide Jelly Cream jar","Medicube Collagen Niacinamide Jelly Cream","A bouncy Medicube jelly cream for customers who want instant glass-skin hydration with a smoother, tighter-looking finish. Key Ingredient: Collagen + Niacinamide What It Helps With: Gives a glass-skin glow, adds hydration and bounce, and helps pores look tighter. Best Skin Type: All / Dull Skin"
"Medicube PDRN Pink Peptide Serum","medicube-pdrn-pink-peptide-serum","<p>A repairing Medicube serum for customers who want healthier-looking texture, recovery care, and a fresh glow.</p><ul><li><strong>Key Ingredient:</strong> PDRN (Salmon DNA)</li><li><strong>What It Helps With:</strong> Intense repair for skin texture and healthy glow.</li><li><strong>Best Skin Type:</strong> Mature / Damaged</li></ul>","Medicube","Repair serum","source-static-catalog, source-id-medicube-pdrn-pink-peptide-serum, brand-medicube, category-repair-serum, skin-all, medicube, repair, healthy-glow, card-pdrn-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/pdrn-pink-peptide-serum.jpg","1","Medicube PDRN Pink Peptide Serum bottle","Medicube PDRN Pink Peptide Serum","A repairing Medicube serum for customers who want healthier-looking texture, recovery care, and a fresh glow. Key Ingredient: PDRN (Salmon DNA) What It Helps With: Intense repair for skin texture and healthy glow. Best Skin Type: Mature / Damaged"
"Medicube PDRN Pink Peptide Eye Cream","medicube-pdrn-pink-peptide-eye-cream","<p>An eye cream for customers who want brighter under-eyes and a smoother look around fine lines.</p><ul><li><strong>Key Ingredient:</strong> Niacinamide + PDRN</li><li><strong>What It Helps With:</strong> Brightens dark circles and smooths fine lines.</li><li><strong>Best Skin Type:</strong> All / Tired Eyes</li></ul>","Medicube","Eye care cream","source-static-catalog, source-id-medicube-pdrn-pink-peptide-eye-cream, brand-medicube, category-eye-care-cream, skin-all, medicube, eye-care, brightening, card-eye-brightening","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/pdrn-pink-peptide-eye-cream.jpg","1","Medicube PDRN Pink Peptide Eye Cream tube","Medicube PDRN Pink Peptide Eye Cream","An eye cream for customers who want brighter under-eyes and a smoother look around fine lines. Key Ingredient: Niacinamide + PDRN What It Helps With: Brightens dark circles and smooths fine lines. Best Skin Type: All / Tired Eyes"
"Medicube PDRN Pink Peptide Cream","medicube-pdrn-pink-peptide-cream","<p>A richer Medicube cream for customers who want a thicker final step that seals in moisture and comfort.</p><ul><li><strong>Key Ingredient:</strong> Peptides + PDRN</li><li><strong>What It Helps With:</strong> A thick, nourishing cream that locks in moisture.</li><li><strong>Best Skin Type:</strong> Extra Dry / Sensitive</li></ul>","Medicube","Nourishing cream","source-static-catalog, source-id-medicube-pdrn-pink-peptide-cream, brand-medicube, category-nourishing-cream, skin-dry, skin-sensitive, medicube, rich-moisture, barrier-care, card-barrier-cream","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/pdrn-pink-peptide-cream.jpg","1","Medicube PDRN Pink Peptide Cream jar","Medicube PDRN Pink Peptide Cream","A richer Medicube cream for customers who want a thicker final step that seals in moisture and comfort. Key Ingredient: Peptides + PDRN What It Helps With: A thick, nourishing cream that locks in moisture. Best Skin Type: Extra Dry / Sensitive"
"Medicube Collagen Glow Sunscreen","medicube-collagen-glow-sunscreen","<p>A glow-finish sunscreen for customers who want daily SPF with a dewy, shiny look and no white cast.</p><ul><li><strong>Key Ingredient:</strong> SPF 50 + Collagen</li><li><strong>What It Helps With:</strong> Sun protection that leaves a shiny, dewy finish.</li><li><strong>Best Skin Type:</strong> All (No White Cast)</li></ul>","Medicube","Dewy sunscreen","source-static-catalog, source-id-medicube-collagen-glow-sunscreen, brand-medicube, category-dewy-sunscreen, skin-all, medicube, daily-spf, dewy-finish, card-glow-spf","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/collagen-glow-sunscreen.jpg","1","Medicube Collagen Glow Sunscreen tube","Medicube Collagen Glow Sunscreen","A glow-finish sunscreen for customers who want daily SPF with a dewy, shiny look and no white cast. Key Ingredient: SPF 50 + Collagen What It Helps With: Sun protection that leaves a shiny, dewy finish. Best Skin Type: All (No White Cast)"
"Medicube Triple Collagen Cream","medicube-triple-collagen-cream","<p>A rich collagen cream for customers who want stronger elasticity care and deeper moisture for very dry skin.</p><ul><li><strong>Key Ingredient:</strong> 3 types of Collagen</li><li><strong>What It Helps With:</strong> Deeply penetrates skin for maximum elasticity.</li><li><strong>Best Skin Type:</strong> Aging / Very Dry</li></ul>","Medicube","Elasticity cream","source-static-catalog, source-id-medicube-triple-collagen-cream, brand-medicube, category-elasticity-cream, skin-dry, medicube, elasticity, very-dry-skin, card-rich-collagen","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/triple-collagen-cream.jpg","1","Medicube Triple Collagen Cream jar","Medicube Triple Collagen Cream","A rich collagen cream for customers who want stronger elasticity care and deeper moisture for very dry skin. Key Ingredient: 3 types of Collagen What It Helps With: Deeply penetrates skin for maximum elasticity. Best Skin Type: Aging / Very Dry"
"Medicube PDRN Pink Niacinamide Toner","medicube-pdrn-pink-niacinamide-toner","<p>A soft prep toner for customers who want smoother-looking tone before layering the rest of the routine.</p><ul><li><strong>Key Ingredient:</strong> Niacinamide + PDRN</li><li><strong>What It Helps With:</strong> Smooths skin tone and preps for the next steps.</li><li><strong>Best Skin Type:</strong> Dull / Textured</li></ul>","Medicube","Tone-prep toner","source-static-catalog, source-id-medicube-pdrn-pink-niacinamide-toner, brand-medicube, category-tone-prep-toner, skin-all, medicube, toner, smooth-tone, card-glow-toner","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/pdrn-pink-niacinamide-toner.jpg","1","Medicube PDRN Pink Niacinamide Toner bottle","Medicube PDRN Pink Niacinamide Toner","A soft prep toner for customers who want smoother-looking tone before layering the rest of the routine. Key Ingredient: Niacinamide + PDRN What It Helps With: Smooths skin tone and preps for the next steps. Best Skin Type: Dull / Textured"
"Medicube Zero Pore Pad 2.0","medicube-zero-pore-pad-2-0","<p>A swipe-on Medicube pad for customers focused on sebum control and a smaller-looking pore finish.</p><ul><li><strong>Key Ingredient:</strong> AHA + BHA</li><li><strong>What It Helps With:</strong> Wipes away sebum and shrinks the look of pores.</li><li><strong>Best Skin Type:</strong> Oily / Combination</li></ul>","Medicube","Pore pad","source-static-catalog, source-id-medicube-zero-pore-pad-2-0, brand-medicube, category-pore-pad, skin-oily, medicube, pores, oil-control, card-zero-pore","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/zero-pore-pad-2.0-clean.png","1","Medicube Zero Pore Pad 2.0 jar","Medicube Zero Pore Pad 2.0","A swipe-on Medicube pad for customers focused on sebum control and a smaller-looking pore finish. Key Ingredient: AHA + BHA What It Helps With: Wipes away sebum and shrinks the look of pores. Best Skin Type: Oily / Combination"
"Medicube Deep Vita C Ampoule","medicube-deep-vita-c-ampoule","<p>A vitamin C Medicube ampoule for customers who want quicker help with dark spots, post-acne marks, and dullness.</p><ul><li><strong>Key Ingredient:</strong> 14.5% Pure Vitamin C</li><li><strong>What It Helps With:</strong> Fades dark spots and acne marks in 7 days.</li><li><strong>Best Skin Type:</strong> Dull / Pigmented</li></ul>","Medicube","Vitamin C ampoule","source-static-catalog, source-id-medicube-deep-vita-c-ampoule, brand-medicube, category-vitamin-c-ampoule, skin-all, medicube, vitamin-c, brightening, card-dark-spot-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/deep-vita-c-ampoule-clean.jpg","1","Medicube Deep Vita C Ampoule bottle","Medicube Deep Vita C Ampoule","A vitamin C Medicube ampoule for customers who want quicker help with dark spots, post-acne marks, and dullness. Key Ingredient: 14.5% Pure Vitamin C What It Helps With: Fades dark spots and acne marks in 7 days. Best Skin Type: Dull / Pigmented"
"Medicube Zero Pore Serum","medicube-zero-pore-serum","<p>A pore-focused serum for customers who want less oil, smoother texture, and cleaner-looking pores.</p><ul><li><strong>Key Ingredient:</strong> Camellia Extract</li><li><strong>What It Helps With:</strong> Controls oil production and smooths skin texture.</li><li><strong>Best Skin Type:</strong> Oily / Large Pores</li></ul>","Medicube","Oil-control serum","source-static-catalog, source-id-medicube-zero-pore-serum, brand-medicube, category-oil-control-serum, skin-oily, medicube, oil-control, smooth-texture, card-pore-serum","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/zero-pore-serum.jpg","1","Medicube Zero Pore Serum bottle","Medicube Zero Pore Serum","A pore-focused serum for customers who want less oil, smoother texture, and cleaner-looking pores. Key Ingredient: Camellia Extract What It Helps With: Controls oil production and smooths skin texture. Best Skin Type: Oily / Large Pores"
"Medicube Red Succinic Acid Serum","medicube-red-succinic-acid-serum","<p>A targeted Medicube serum for customers dealing with stubborn acne and recurring oily-skin breakouts.</p><ul><li><strong>Key Ingredient:</strong> Succinic Acid + Salicylic</li><li><strong>What It Helps With:</strong> Clears stubborn acne and prevents future breakouts.</li><li><strong>Best Skin Type:</strong> Acne-prone / Oily</li></ul>","Medicube","Acne-care serum","source-static-catalog, source-id-medicube-red-succinic-acid-serum, brand-medicube, category-acne-care-serum, skin-oily, medicube, acne-care, oilier-skin, card-acne-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/red-succinic-acid-serum.jpg","1","Medicube Red Succinic Acid Serum bottle","Medicube Red Succinic Acid Serum","A targeted Medicube serum for customers dealing with stubborn acne and recurring oily-skin breakouts. Key Ingredient: Succinic Acid + Salicylic What It Helps With: Clears stubborn acne and prevents future breakouts. Best Skin Type: Acne-prone / Oily"
"Medicube Super Cica Ampoule","medicube-super-cica-ampoule","<p>A calming Medicube ampoule for customers who want fast soothing support when skin feels sensitive or irritated.</p><ul><li><strong>Key Ingredient:</strong> 61% Centella</li><li><strong>What It Helps With:</strong> Higher concentration for ultra-fast skin healing.</li><li><strong>Best Skin Type:</strong> Sensitive / Irritated</li></ul>","Medicube","Calming ampoule","source-static-catalog, source-id-medicube-super-cica-ampoule, brand-medicube, category-calming-ampoule, skin-sensitive, medicube, centella-care, sensitive-skin, card-cica-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/medicube/super-cica-ampoule-clean.jpg","1","Medicube Super Cica Ampoule bottle","Medicube Super Cica Ampoule","A calming Medicube ampoule for customers who want fast soothing support when skin feels sensitive or irritated. Key Ingredient: 61% Centella What It Helps With: Higher concentration for ultra-fast skin healing. Best Skin Type: Sensitive / Irritated"
"APLB Glutathione Niacinamide Ampoule","aplb-glutathione-niacinamide-ampoule","<p>A brightening APLB ampoule for customers who want more glow and help with dark spots or a dull-looking tone.</p><ul><li><strong>Key Ingredient:</strong> Glutathione + Niacinamide</li><li><strong>What It Helps With:</strong> Deeply brightens skin and removes dark spots.</li><li><strong>Best Skin Type:</strong> Dull / Pigmented</li></ul>","APLB","Brightening ampoule","source-static-catalog, source-id-aplb-glutathione-niacinamide-ampoule, brand-aplb, category-brightening-ampoule, skin-all, aplb, brightening, dark-spots, card-dark-spot-care","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/glutathione-niacinamide-ampoule.jpg","1","APLB Glutathione Niacinamide Ampoule bottle","APLB Glutathione Niacinamide Ampoule","A brightening APLB ampoule for customers who want more glow and help with dark spots or a dull-looking tone. Key Ingredient: Glutathione + Niacinamide What It Helps With: Deeply brightens skin and removes dark spots. Best Skin Type: Dull / Pigmented"
"APLB Amino Acid Peptide Ampoule","aplb-amino-acid-peptide-ampoule","<p>A peptide-focused APLB ampoule for customers who want firmer skin and stronger barrier support.</p><ul><li><strong>Key Ingredient:</strong> Peptides + Amino Acids</li><li><strong>What It Helps With:</strong> Tightens skin and repairs the skin barrier.</li><li><strong>Best Skin Type:</strong> Aging / Textured</li></ul>","APLB","Peptide ampoule","source-static-catalog, source-id-aplb-amino-acid-peptide-ampoule, brand-aplb, category-peptide-ampoule, skin-all, aplb, peptides, barrier-care, card-barrier-repair","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/amino-acid-peptide-ampoule.jpg","1","APLB Amino Acid Peptide Ampoule bottle","APLB Amino Acid Peptide Ampoule","A peptide-focused APLB ampoule for customers who want firmer skin and stronger barrier support. Key Ingredient: Peptides + Amino Acids What It Helps With: Tightens skin and repairs the skin barrier. Best Skin Type: Aging / Textured"
"APLB Spicule Collagen Shot 300","aplb-spicule-collagen-shot-300","<p>A treatment-style APLB ampoule for customers who want smoother texture and help renewing rough, dull skin.</p><ul><li><strong>Key Ingredient:</strong> Micro-needles + Collagen</li><li><strong>What It Helps With:</strong> Smooths out bumps and helps skin renew itself.</li><li><strong>Best Skin Type:</strong> Dull / Textured</li></ul>","APLB","Texture ampoule","source-static-catalog, source-id-aplb-spicule-collagen-shot-300, brand-aplb, category-texture-ampoule, skin-all, aplb, texture-care, collagen, card-skin-renewal","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/spicule-collagen-shot-300.jpg","1","APLB Spicule Collagen Shot 300 bottle","APLB Spicule Collagen Shot 300","A treatment-style APLB ampoule for customers who want smoother texture and help renewing rough, dull skin. Key Ingredient: Micro-needles + Collagen What It Helps With: Smooths out bumps and helps skin renew itself. Best Skin Type: Dull / Textured"
"APLB Retinol Vitamin C Vitamin E Ampoule","aplb-retinol-vitamin-c-vitamin-e-ampoule","<p>A treatment APLB ampoule for customers who want glow support and an easy anti-aging step in one bottle.</p><ul><li><strong>Key Ingredient:</strong> Retinol + Vit C/E</li><li><strong>What It Helps With:</strong> A &quot;triple threat&quot; for anti-aging and glowing skin.</li><li><strong>Best Skin Type:</strong> Aging / All Skin</li></ul>","APLB","Anti-aging ampoule","source-static-catalog, source-id-aplb-retinol-vitamin-c-vitamin-e-ampoule, brand-aplb, category-anti-aging-ampoule, skin-all, aplb, retinol, glow-care, card-anti-aging-glow","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/retinol-vitamin-c-vitamin-e-ampoule.jpg","1","APLB Retinol Vitamin C Vitamin E Ampoule bottle","APLB Retinol Vitamin C Vitamin E Ampoule","A treatment APLB ampoule for customers who want glow support and an easy anti-aging step in one bottle. Key Ingredient: Retinol + Vit C/E What It Helps With: A ""triple threat"" for anti-aging and glowing skin. Best Skin Type: Aging / All Skin"
"APLB Salicylic Acid BHA Arbutin Ampoule","aplb-salicylic-acid-bha-arbutin-ampoule","<p>An APLB ampoule for customers who want to calm breakouts while also helping post-acne marks look brighter.</p><ul><li><strong>Key Ingredient:</strong> BHA + Arbutin</li><li><strong>What It Helps With:</strong> Clears acne and brightens marks at the same time.</li><li><strong>Best Skin Type:</strong> Acne-prone / Oily</li></ul>","APLB","Acne-care ampoule","source-static-catalog, source-id-aplb-salicylic-acid-bha-arbutin-ampoule, brand-aplb, category-acne-care-ampoule, skin-oily, aplb, acne-care, brightening, card-acne-marks","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/salicylic-acid-bha-arbutin-ampoule.jpg","1","APLB Salicylic Acid BHA Arbutin Ampoule bottle","APLB Salicylic Acid BHA Arbutin Ampoule","An APLB ampoule for customers who want to calm breakouts while also helping post-acne marks look brighter. Key Ingredient: BHA + Arbutin What It Helps With: Clears acne and brightens marks at the same time. Best Skin Type: Acne-prone / Oily"
"APLB Spicule Collagen Shot 300 Cream","aplb-spicule-collagen-shot-300-cream","<p>A richer APLB cream for customers who want smoother texture and firmer-looking skin in one final sealing step.</p><ul><li><strong>Key Ingredient:</strong> Micro-spicules + Collagen</li><li><strong>What It Helps With:</strong> Resurfaces skin texture and firms sagging areas.</li><li><strong>Best Skin Type:</strong> Textured / Mature</li></ul>","APLB","Firming cream","source-static-catalog, source-id-aplb-spicule-collagen-shot-300-cream, brand-aplb, category-firming-cream, skin-all, aplb, texture-care, firming, card-texture-firming","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/spicule-collagen-shot-300-cream.jpg","1","APLB Spicule Collagen Shot 300 Cream jar","APLB Spicule Collagen Shot 300 Cream","A richer APLB cream for customers who want smoother texture and firmer-looking skin in one final sealing step. Key Ingredient: Micro-spicules + Collagen What It Helps With: Resurfaces skin texture and firms sagging areas. Best Skin Type: Textured / Mature"
"APLB Glutathione Niacinamide Cream","aplb-glutathione-niacinamide-cream","<p>A brightening APLB cream for customers who want to lock in glow care and help stubborn dark spots look softer over time.</p><ul><li><strong>Key Ingredient:</strong> Glutathione + Niacinamide</li><li><strong>What It Helps With:</strong> Seals in brightness and fades stubborn dark spots.</li><li><strong>Best Skin Type:</strong> Dull / Pigmented</li></ul>","APLB","Brightening cream","source-static-catalog, source-id-aplb-glutathione-niacinamide-cream, brand-aplb, category-brightening-cream, skin-all, aplb, brightening, dark-spots, card-glow-cream","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/glutathione-niacinamide-cream.jpg","1","APLB Glutathione Niacinamide Cream jar","APLB Glutathione Niacinamide Cream","A brightening APLB cream for customers who want to lock in glow care and help stubborn dark spots look softer over time. Key Ingredient: Glutathione + Niacinamide What It Helps With: Seals in brightness and fades stubborn dark spots. Best Skin Type: Dull / Pigmented"
"APLB Retinol Vitamin C Vitamin E Cream","aplb-retinol-vitamin-c-vitamin-e-cream","<p>A richer APLB cream for customers who want anti-aging support and brighter-looking skin in one easier daily step.</p><ul><li><strong>Key Ingredient:</strong> Retinol + Vitamin C</li><li><strong>What It Helps With:</strong> All-in-one anti-aging and skin brightening.</li><li><strong>Best Skin Type:</strong> All / Aging</li></ul>","APLB","Anti-aging cream","source-static-catalog, source-id-aplb-retinol-vitamin-c-vitamin-e-cream, brand-aplb, category-anti-aging-cream, skin-all, aplb, retinol, brightening, card-anti-aging-glow","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/retinol-vitamin-c-vitamin-e-cream.jpg","1","APLB Retinol Vitamin C Vitamin E Cream jar","APLB Retinol Vitamin C Vitamin E Cream","A richer APLB cream for customers who want anti-aging support and brighter-looking skin in one easier daily step. Key Ingredient: Retinol + Vitamin C What It Helps With: All-in-one anti-aging and skin brightening. Best Skin Type: All / Aging"
"APLB Hyaluronic Acid Ceramide Cream","aplb-hyaluronic-acid-ceramide-cream","<p>A barrier-focused APLB cream for customers with very dry or sensitive skin who want deeper daily moisture and comfort.</p><ul><li><strong>Key Ingredient:</strong> Hyaluronic Acid + Ceramide</li><li><strong>What It Helps With:</strong> Heals a dry, flaky skin barrier with deep moisture.</li><li><strong>Best Skin Type:</strong> Very Dry / Sensitive</li></ul>","APLB","Barrier cream","source-static-catalog, source-id-aplb-hyaluronic-acid-ceramide-cream, brand-aplb, category-barrier-cream, skin-dry, skin-sensitive, aplb, barrier-care, deep-moisture, card-deep-moisture","false","draft","Default Title","Default Title","","true","","0","false","0","g","true","manual","https://raw.githubusercontent.com/motkimlang76-tech/rolang-beauty/main/src/assets/products/aplb/hyaluronic-acid-ceramide-cream.jpg","1","APLB Hyaluronic Acid Ceramide Cream jar","APLB Hyaluronic Acid Ceramide Cream","A barrier-focused APLB cream for customers with very dry or sensitive skin who want deeper daily moisture and comfort. Key Ingredient: Hyaluronic Acid + Ceramide What It Helps With: Heals a dry, flaky skin barrier with deep moisture. Best Skin Type: Very Dry / Sensitive"
